10.1103/PhysRevB.59.15862|1999-06-15|73.20|b'r.  bleher><d.  l\xc3\xbcer\xc3\x9fen><heinz  kalt><a.  oehler'
10.1103/PhysRevB.59.15872|1999-06-15|73.20|b'akira  asano><yoshiyuki  yamashita><yasushiro  nishioka><hikaru  kobayashi'
10.1103/PhysRevB.59.15902|1999-06-15|73.20|b'p.  pfeffer'
10.1103/PhysRevB.59.1605|1999-01-15|73.20|b'pablo  villamil><j. c. granada><n.  porras-montenegro'
10.1103/PhysRevB.59.1609|1999-01-15|73.20|b'alessandra  continenza><silvia  picozzi><arthur j. freeman'
10.1103/PhysRevB.59.1613|1999-01-15|73.20|b'm.  koskinen><stephanie m. reimann><m. t. manninen'
10.1103/PhysRevB.59.1617|1999-01-15|73.20|b'bart  partoens><fran\xc3\xa7ois m. peeters><a.  matulis'
10.1103/PhysRevB.59.1621|1999-01-15|73.20|b'rosa mar\xc3\xada de la cruz><cl\xc3\xa9ment  kanyinda-malu'
10.1103/PhysRevB.59.1625|1999-01-15|73.20|b'kenneth l. campman><atac  imamoglu><arthur c. gossard><a. v. mintsev><leonid v. butov'
10.1103/PhysRevB.59.1633|1999-01-15|73.20|b'james r. heath><gilberto  medeiros-ribeiro><d. a. ohlberg><r. stanley williams'
10.1103/PhysRevB.59.1645|1999-01-15|73.20|b'd. p. yu><b. l. li><s. r. zhang'
10.1103/PhysRevB.59.1673|1999-01-15|73.20|b'jae il lee><w.  mannstadt><arthur j. freeman'
10.1103/PhysRevB.59.1681|1999-01-15|73.20|b'peter h. dederichs><peter  rennert><valeri s. stepanyuk><k.  wildberger><rudolf  zeller><wolfram  hergert'
10.1103/PhysRevB.59.1786|1999-01-15|73.20|b'shigeru  sato><akinori  tanaka><s. y. suzuki><masayuki  hatano><hiroyuki  sasaki><k. t. takahashi'
10.1103/PhysRevB.59.1792|1999-01-15|73.20|b'j.  rebane><russell g. egdell><d. l. law><t. j. walker'
10.1103/PhysRevB.59.2025|1999-01-15|73.20|b'andre  stesmans><v. v. afanas\xe2\x80\x99ev'
10.1103/PhysRevB.59.2040|1999-01-15|73.20|b'angelo  mascarenhas><y. j. zhang'
10.1103/PhysRevB.59.2045|1999-01-15|73.20|b'jian  song><john d. dow><shang yuan ren'
10.1103/PhysRevB.59.2050|1999-01-15|73.20|b'andreas  waag><dmitri r. yakovlev><a. i. filin><m. g. tyazhlov><g.  landwehr><v. d. kulakovskii'
10.1103/PhysRevB.59.2057|1999-01-15|73.20|b'a.  bruno-alfonso><luiz e. oliveira><f. j. ribeiro><andrea  latg\xc3\xa9'
10.1103/PhysRevB.59.2063|1999-01-15|73.20|b'p.  vasilopoulos><o. g. balev'
10.1103/PhysRevB.59.2070|1999-01-15|73.20|b'david p. divincenzo><guido  burkard><daniel  loss'
10.1103/PhysRevB.59.2079|1999-01-15|73.20|b'brandon p. van zyl><eugene  zaremba'
10.1103/PhysRevB.59.2095|1999-01-15|73.20|b'd. s. kainth><a. s. bhatti><edmund h. linfield><michelle y. simmons><david g. richards><david a. ritchie><h. p. hughes'
10.1103/PhysRevB.59.2102|1999-01-15|73.20|b'h. a. knops><s. a. van langen><j. j. paasschens><c. j. beenakker'
10.1103/PhysRevB.59.2111|1999-01-15|73.20|b'm.  cemal yalabik><e.  ke\xc3\xa7ecio\xc4\x9flu'
10.1103/PhysRevB.59.2120|1999-01-15|73.20|b'h. a. fertig'
10.1103/PhysRevB.59.2142|1999-01-15|73.20|b'ken ichi  shizuya'
10.1103/PhysRevB.59.2240|1999-01-15|73.20|b'b. v. shanabrook><t. a. kennedy><b. r. bennett><e. r. glaser'
10.1103/PhysRevB.59.2261|1999-01-15|73.20|b'norman morgenstern horing><godfrey  gumbs'
10.1103/PhysRevB.59.2301|1999-01-15|73.20|b'hiroshi  tsukada'
10.1103/PhysRevB.59.2393|1999-01-15|73.20|b'c. s. west><k. a. o\xe2\x80\x99donnell'
10.1103/PhysRevB.59.2417|1999-01-15|73.20|b'alexander l. shluger><lev n. kantorovich><peter v. sushko'
10.1103/PhysRevB.59.2454|1999-01-15|73.20|b'christopher c. davis><walid  atia><igor i. smolyaninov'
10.1103/PhysRevB.59.2549|1999-01-15|73.20|b'wolfgang  nolting><michael  potthoff'
10.1103/PhysRevB.59.2801|1999-01-15|73.20|b'z. w. wasilewski><pawel  hawrylak><a. \xe2\x80\x89s. sachrajda><charles  gould><yan  feng'
10.1103/PhysRevB.59.2807|1999-01-15|73.20|b'p.  vasilopoulos><o. g. balev'
10.1103/PhysRevB.59.2817|1999-01-15|73.20|b'fran\xc3\xa7ois m. peeters><a.  matulis><j.  reijniers'
10.1103/PhysRevB.59.2824|1999-01-15|73.20|b'esmael  badran><sergio e. ulloa'
10.1103/PhysRevB.59.2861|1999-01-15|73.20|b'philip  dawson><m. j. godfrey><a. m. malik'
10.1103/PhysRevB.59.2927|1999-01-15|73.20|b'fritz  herlach><m.  hayne><a.  usher><mohamed  henini><ria  bogaerts><victor v. moshchalkov><fran\xc3\xa7ois m. peeters><c.  riva><c. l. jones'
10.1103/PhysRevB.59.2932|1999-01-15|73.20|b'm. asif khan><w. e. angerer><arjun g. yodh><n.  yang><c. j. sun'
