10.1103/PhysRevE.72.066107|2005-12-07|b'89.75.Fb><89.75.Hc><87.23.Ge'|b'R. Lambiotte><M. Ausloos',,,
10.1103/PhysRevE.72.041505|2005-10-19|b'64.70.Pf><64.70.Ja><64.60.My'|b'Aleksandra Drozd-Rzoska',,,
10.1103/PhysRevE.72.066128|2005-12-30|b'89.75.Fb><89.75.Hc><02.10.Ox><89.70.+c'|b'Hari P. Thadakamalla><R. Albert><S. R. T. Kumara',,,
10.1103/PhysRevE.72.025104|2005-08-31|b'89.75.Hc><05.10.\xe2\x88\x92a><89.20.Hh'|b'Liang Zhao><Kwangho Park><Ying-Cheng Lai><Nong Ye',,,
10.1103/PhysRevE.72.035101|2005-09-15|b'64.60.\xe2\x88\x92i><05.10.Cc'|b'Pierre Le Doussal><Kay J\xc3\xb6rg Wiese',,,
10.1103/PhysRevE.72.066109|2005-12-08|b'02.50.\xe2\x88\x92r><07.05.Kf><05.50.+q><64.60.Ak'|b'C. Farrow><P. M. Duxbury><Cristian F. Moukarzel',,,
10.1103/PhysRevE.72.036220|2005-09-28|b'89.75.Kd><05.45.\xe2\x88\x92a><89.75.Fb><47.54.+r'|b'Alidou Mohamadou><A. Kenfack Jiotsa><T. C. Kofan\xc3\xa9',,,
10.1103/PhysRevE.72.046142|2005-10-28|b'89.75.Hc><02.10.Ox><89.75.Da><02.50.Ey'|b'Francesc Comellas><Hernan D. Rozenfeld><Daniel ben-Avraham',,,
10.1103/PhysRevE.72.026132|2005-08-29|b'89.75.Hc><05.10.\xe2\x88\x92a><87.23.Ge><89.20.Hh'|b'Aaron Clauset',,,
10.1103/PhysRevE.72.016122|2005-07-20|b'64.60.\xe2\x88\x92i><05.70.Fh><02.40.\xe2\x88\x92k'|b'L. Angelani><G. Ruocco><F. Zamponi',,,
10.1103/PhysRevE.72.046704|2005-10-04|b'02.70.Rr><75.10.Hk><64.60.Cn'|b'Yong Wu><Mathias K\xc3\xb6rner><Louis Colonna-Romano><Simon Trebst><Harvey Gould><Jonathan Machta><Matthias Troyer',,,
10.1103/PhysRevE.72.046216|2005-10-24|b'89.75.Kd><82.40.Ck><05.45.\xe2\x88\x92a'|b'Takao Ohta><Hidekazu Tokuda',,,
10.1103/PhysRevE.72.046112|2005-10-13|b'89.75.Hc><02.10.Ox'|b'Bj\xc3\xb6rn Samuelsson><Carl Troein',,,
10.1103/PhysRevE.72.055101|2005-11-16|b'89.75.Hc><05.10.\xe2\x88\x92a><05.45.Xt><05.50.+q'|b'Konstantin Klemm><Stefan Bornholdt',,,
10.1103/PhysRevE.72.016209|2005-07-15|b'89.75.Kd><47.54.+r><45.70.Qj><47.32.Cc'|b'K. Scheibye-Knudsen><C. Ellegaard><F. Bundgaard><Thomas Sams',,,
10.1103/PhysRevE.72.036201|2005-09-01|b'89.75.Kd><47.20.Ma><47.70.Fw><44.30.+v'|b'Chuan Lu><Yannis C. Yortsos',,,
10.1103/PhysRevE.72.041103|2005-10-18|b'05.40.\xe2\x88\x92a><91.30.Dk><89.75.Da><89.75.\xe2\x88\x92k'|b'P. A. Varotsos><N. V. Sarlis><H. K. Tanaka><E. S. Skordas',,,
10.1103/PhysRevE.72.056102|2005-11-03|b'02.50.Ey><05.50.+q><64.60.\xe2\x88\x92i'|b'Miguel A. Mu\xc3\xb1oz><Francesca Colaiori><Claudio Castellano',,,
10.1103/PhysRevE.72.046123|2005-10-18|b'64.60.Ak'|b'A. B. Harris><J. M. Schwarz',,,
10.1103/PhysRevE.72.016123|2005-07-20|b'89.75.Hc><89.75.Fb><05.10.\xe2\x88\x92a><05.40.\xe2\x88\x92a'|b'M. J. Gagen><J. S. Mattick',,,
10.1103/PhysRevE.72.056138|2005-11-30|b'89.75.Hc'|b'Piet Van Mieghem><Serena M. Magdalena',,,
10.1103/PhysRevE.72.046108|2005-10-10|b'89.75.Hc><05.10.\xe2\x88\x92a><87.23.Ge><89.20.Hh'|b'James P. Bagrow><Erik M. Bollt',,,
10.1103/PhysRevE.72.036102|2005-09-02|b'89.75.Hc><05.70.Ln'|b'Sumiyoshi Abe><Stefan Thurner',,,
10.1103/PhysRevE.72.026102|2005-08-03|b'89.75.Hc><02.50.Ey><05.45.\xe2\x88\x92a'|b'M. F. Laguna><M. Aldana><H. Larralde><P. E. Parris><V. M. Kenkre',,,
10.1103/PhysRevE.72.016115|2005-07-18|b'64.60.\xe2\x88\x92i><75.60.\xe2\x88\x92d><77.80.Dj><68.65.Ac'|b'J. M. Deutsch><Trieu Mai',,,
10.1103/PhysRevE.72.066103|2005-12-01|b'05.65.+b><45.70.Ht><89.75.Da'|b'Matthew Stapleton><Kim Christensen',,,
10.1103/PhysRevE.72.036126|2005-09-27|b'05.70.Ln><64.60.Ht><02.50.Ey'|b'Thomas Vojta><Mark Dickison',,,
10.1103/PhysRevE.72.046122|2005-10-18|b'64.60.\xe2\x88\x92i><63.22.+m'|b'S. W. S. Apolinario><B. Partoens><F. M. Peeters',,,
10.1103/PhysRevE.72.046139|2005-10-28|b'02.50.Le><05.65.+b><87.23.Ge><89.75.Fb'|b'Tao Zhou><Bing-Hong Wang><Pei-Ling Zhou><Chun-Xia Yang><Jun Liu',,,
10.1103/PhysRevE.72.031506|2005-09-16|b'64.70.Fx><05.70.Fh><64.60.\xe2\x88\x92i><75.50.Mm'|b'I. P. Omelyan><W. Fenz><I. M. Mryglod><R. Folk',,,
10.1103/PhysRevE.72.026117|2005-08-16|b'84.35.+i><89.90.+n><64.60.\xe2\x88\x92i><87.19.La'|b'Christoph Bunzmann><Michael Biehl><Robert Urbanczik',,,
10.1103/PhysRevE.72.037103|2005-09-20|b'05.65.+b><05.40.\xe2\x88\x92a><89.75.Da'|b'M. Gedalin><M. Balikhin><D. Coca><G. Consolini><R. A. Treumann',,,
10.1103/PhysRevE.72.036125|2005-09-27|b'05.50.+q><05.70.Fh><64.60.Ht><75.10.Hk'|b'Mustafa Keskin><Osman Canko><\xc3\x9cmit Temizer',,,
